Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
65,65,3.0,0.0,16.139185190200806
65,65,10.0,42.5,10.731834173202515
65,65,30.0,100.0,13.414860486984253
70,1,0.01,0.6000000000000001,1.029219150543213
70,1,0.03,2.1,1.0581693649291992
70,1,0.1,6.2,0.9773852825164795
70,1,0.3,19.200000000000003,0.9895901679992676
70,1,1.0,50.900000000000006,0.9896507263183594
70,1,3.0,87.0,1.0209107398986816
70,1,10.0,100.0,1.0028700828552246
70,1,30.0,100.0,0.9846301078796387
70,9,0.01,0.0,2.758064031600952
70,9,0.03,0.0,2.865551710128784
70,9,0.1,0.0,2.7677624225616455
